n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,2.390852390852391,57.66233766233766,770,962,ETS,qwen,maryland,P2,1067841243,1,[4]
50,3.8461538461538463,65.5844155844156,770,962,ETS,qwen,maryland,P2,1067841243,1,[4]
200,4.261954261954262,68.7012987012987,770,962,ETS,qwen,maryland,P2,1067841243,1,[4]
30,2.1711366538952745,61.0062893081761,636,783,ETS,qwen,maryland,P3,959183449,1,[4]
50,2.1711366538952745,61.0062893081761,636,783,ETS,qwen,maryland,P3,959183449,1,[4]
200,6.257982120051085,78.9308176100629,636,783,ETS,qwen,maryland,P3,959183449,1,[4]
30,0.5108556832694764,45.813586097946285,633,783,ETS,qwen,maryland,P3,1457248422,1,[4]
50,3.4482758620689653,72.51184834123224,633,783,ETS,qwen,maryland,P3,1457248422,1,[4]
200,5.491698595146871,76.61927330173775,633,783,ETS,qwen,maryland,P3,1457248422,1,[4]
30,0.1277139208173691,39.17355371900826,605,783,ETS,qwen,maryland,P3,642571064,1,[4]
50,1.7879948914431671,60.16528925619835,605,783,ETS,qwen,maryland,P3,642571064,1,[4]
200,5.108556832694764,76.69421487603306,605,783,ETS,qwen,maryland,P3,642571064,1,[4]
30,0.38314176245210724,42.405063291139236,632,783,ETS,qwen,maryland,P3,3609844797,1,[4]
50,4.597701149425287,75.79113924050634,632,783,ETS,qwen,maryland,P3,3609844797,1,[4]
200,4.342273307790549,75.15822784810126,632,783,ETS,qwen,maryland,P3,3609844797,1,[4]
30,5.108556832694764,76.65056360708535,621,783,ETS,qwen,maryland,P3,1067841243,1,[4]
50,5.108556832694764,76.65056360708535,621,783,ETS,qwen,maryland,P3,1067841243,1,[4]
200,6.002554278416347,78.90499194847021,621,783,ETS,qwen,maryland,P3,1067841243,1,[4]
30,2.029312288613303,52.4822695035461,705,887,ETS,qwen,maryland,P4,959183449,1,[4]
50,5.862457722660654,75.74468085106383,705,887,ETS,qwen,maryland,P4,959183449,1,[4]
