n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
50,0.8316008316008316,73.83966244725738,711,962,ETS,qwen,openai,P2,959183449,1,[4]
200,5.50935550935551,88.60759493670885,711,962,ETS,qwen,openai,P2,959183449,1,[4]
30,4.781704781704782,83.26359832635984,717,962,ETS,qwen,openai,P2,1457248422,1,[4]
50,4.781704781704782,83.26359832635984,717,962,ETS,qwen,openai,P2,1457248422,1,[4]
200,5.50935550935551,86.88981868898186,717,962,ETS,qwen,openai,P2,1457248422,1,[4]
30,1.2474012474012475,73.86363636363636,704,962,ETS,qwen,openai,P2,642571064,1,[4]
50,1.2474012474012475,74.85795454545455,704,962,ETS,qwen,openai,P2,642571064,1,[4]
200,3.6382536382536386,82.95454545454545,704,962,ETS,qwen,openai,P2,642571064,1,[4]
30,1.4553014553014554,75.0,720,962,ETS,qwen,openai,P2,3609844797,1,[4]
50,1.7671517671517671,78.05555555555556,720,962,ETS,qwen,openai,P2,3609844797,1,[4]
200,3.8461538461538463,82.77777777777777,720,962,ETS,qwen,openai,P2,3609844797,1,[4]
30,2.7027027027027026,77.79291553133515,734,962,ETS,qwen,openai,P2,1067841243,1,[4]
50,2.7027027027027026,77.79291553133515,734,962,ETS,qwen,openai,P2,1067841243,1,[4]
200,4.158004158004158,82.56130790190736,734,962,ETS,qwen,openai,P2,1067841243,1,[4]
30,0.0,52.78688524590164,610,783,ETS,qwen,openai,P3,959183449,1,[4]
50,5.491698595146871,87.37704918032787,610,783,ETS,qwen,openai,P3,959183449,1,[4]
200,5.491698595146871,87.37704918032787,610,783,ETS,qwen,openai,P3,959183449,1,[4]
30,0.2554278416347382,51.894563426688634,607,783,ETS,qwen,openai,P3,1457248422,1,[4]
50,1.532567049808429,69.68698517298188,607,783,ETS,qwen,openai,P3,1457248422,1,[4]
200,3.4482758620689653,82.20757825370676,607,783,ETS,qwen,openai,P3,1457248422,1,[4]
30,4.21455938697318,82.63069139966274,593,783,ETS,qwen,openai,P3,642571064,1,[4]
50,4.21455938697318,82.63069139966274,593,783,ETS,qwen,openai,P3,642571064,1,[4]
200,7.2796934865900385,88.87015177065767,593,783,ETS,qwen,openai,P3,642571064,1,[4]
30,0.8939974457215836,62.852404643449425,603,783,ETS,qwen,openai,P3,3609844797,1,[4]
50,1.6602809706257982,69.65174129353234,603,783,ETS,qwen,openai,P3,3609844797,1,[4]
200,6.896551724137931,87.56218905472637,603,783,ETS,qwen,openai,P3,3609844797,1,[4]
30,4.725415070242656,85.11705685618729,598,783,ETS,qwen,openai,P3,1067841243,1,[4]
50,4.725415070242656,85.11705685618729,598,783,ETS,qwen,openai,P3,1067841243,1,[4]
200,6.002554278416347,87.79264214046822,598,783,ETS,qwen,openai,P3,1067841243,1,[4]
30,1.3528748590755355,71.3841368584759,643,887,ETS,qwen,openai,P4,959183449,1,[4]
50,4.058624577226606,87.09175738724728,643,887,ETS,qwen,openai,P4,959183449,1,[4]
200,4.058624577226606,87.09175738724728,643,887,ETS,qwen,openai,P4,959183449,1,[4]
30,5.411499436302142,87.70864946889226,659,887,ETS,qwen,openai,P4,1457248422,1,[4]
50,5.411499436302142,87.70864946889226,659,887,ETS,qwen,openai,P4,1457248422,1,[4]
200,5.411499436302142,87.70864946889226,659,887,ETS,qwen,openai,P4,1457248422,1,[4]
