n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,Combined Unweighted,12.453531598513012,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
5,Combined Weighted (quantile),12.453531598513012,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
5,Combined Weighted (mean),12.453531598513012,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P7,642571064,1,[2]
15,Combined Unweighted,12.546468401486988,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
15,Combined Weighted (quantile),12.546468401486988,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
15,Combined Weighted (mean),12.546468401486988,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
30,In Distribution Only,1.9516728624535316,34.19117647058824,ETS,phi,openai,P7,642571064,1,[2]
30,Combined Unweighted,12.453531598513012,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
30,Combined Weighted (quantile),12.453531598513012,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
30,Combined Weighted (mean),12.453531598513012,65.07352941176471,ETS,phi,openai,P7,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P8,642571064,1,[2]
