n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
30,In Distribution Only,0.0,0.0,ETS,phi,maryland,P3,642571064,1,[2]
30,Combined Unweighted,7.918263090676884,49.789029535864984,ETS,phi,maryland,P3,642571064,1,[2]
30,Combined Weighted (quantile),7.918263090676884,49.789029535864984,ETS,phi,maryland,P3,642571064,1,[2]
30,Combined Weighted (mean),0.2554278416347382,3.375527426160337,ETS,phi,maryland,P3,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P4,642571064,1,[2]
5,Combined Unweighted,6.877113866967305,50.92250922509225,ETS,phi,maryland,P4,642571064,1,[2]
5,Combined Weighted (quantile),3.9458850056369785,40.22140221402214,ETS,phi,maryland,P4,642571064,1,[2]
5,Combined Weighted (mean),6.538895152198422,49.815498154981555,ETS,phi,maryland,P4,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P4,642571064,1,[2]
15,Combined Unweighted,6.877113866967305,50.92250922509225,ETS,phi,maryland,P4,642571064,1,[2]
15,Combined Weighted (quantile),6.877113866967305,50.92250922509225,ETS,phi,maryland,P4,642571064,1,[2]
15,Combined Weighted (mean),1.8038331454340473,29.520295202952028,ETS,phi,maryland,P4,642571064,1,[2]
30,In Distribution Only,0.1127395715896279,11.808118081180812,ETS,phi,maryland,P4,642571064,1,[2]
30,Combined Unweighted,6.6516347237880495,50.184501845018445,ETS,phi,maryland,P4,642571064,1,[2]
30,Combined Weighted (quantile),6.6516347237880495,50.184501845018445,ETS,phi,maryland,P4,642571064,1,[2]
30,Combined Weighted (mean),3.9458850056369785,40.22140221402214,ETS,phi,maryland,P4,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P5,642571064,1,[2]
5,Combined Unweighted,7.723169508525577,52.59938837920489,ETS,phi,maryland,P5,642571064,1,[2]
5,Combined Weighted (quantile),4.112337011033099,39.14373088685015,ETS,phi,maryland,P5,642571064,1,[2]
5,Combined Weighted (mean),7.522567703109328,52.293577981651374,ETS,phi,maryland,P5,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P5,642571064,1,[2]
15,Combined Unweighted,7.723169508525577,52.59938837920489,ETS,phi,maryland,P5,642571064,1,[2]
15,Combined Weighted (quantile),6.519558676028084,47.706422018348626,ETS,phi,maryland,P5,642571064,1,[2]
15,Combined Weighted (mean),5.917753259779338,45.56574923547401,ETS,phi,maryland,P5,642571064,1,[2]
30,In Distribution Only,3.4102306920762286,34.862385321100916,ETS,phi,maryland,P5,642571064,1,[2]
30,Combined Unweighted,7.522567703109328,52.293577981651374,ETS,phi,maryland,P5,642571064,1,[2]
30,Combined Weighted (quantile),7.221664994984955,50.764525993883794,ETS,phi,maryland,P5,642571064,1,[2]
30,Combined Weighted (mean),7.221664994984955,50.764525993883794,ETS,phi,maryland,P5,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P6,642571064,1,[2]
5,Combined Unweighted,11.585365853658535,61.59420289855072,ETS,phi,maryland,P6,642571064,1,[2]
5,Combined Weighted (quantile),11.585365853658535,61.59420289855072,ETS,phi,maryland,P6,642571064,1,[2]
5,Combined Weighted (mean),11.585365853658535,61.59420289855072,ETS,phi,maryland,P6,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P6,642571064,1,[2]
15,Combined Unweighted,11.585365853658535,61.59420289855072,ETS,phi,maryland,P6,642571064,1,[2]
15,Combined Weighted (quantile),10.772357723577237,57.2463768115942,ETS,phi,maryland,P6,642571064,1,[2]
15,Combined Weighted (mean),8.739837398373984,55.79710144927537,ETS,phi,maryland,P6,642571064,1,[2]
30,In Distribution Only,1.016260162601626,27.536231884057973,ETS,phi,maryland,P6,642571064,1,[2]
30,Combined Unweighted,11.38211382113821,60.86956521739131,ETS,phi,maryland,P6,642571064,1,[2]
30,Combined Weighted (quantile),8.333333333333332,55.79710144927537,ETS,phi,maryland,P6,642571064,1,[2]
30,Combined Weighted (mean),5.284552845528456,45.65217391304348,ETS,phi,maryland,P6,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P7,642571064,1,[2]
5,Combined Unweighted,10.223048327137546,64.31095406360424,ETS,phi,maryland,P7,642571064,1,[2]
5,Combined Weighted (quantile),0.5576208178438662,28.26855123674912,ETS,phi,maryland,P7,642571064,1,[2]
5,Combined Weighted (mean),6.412639405204461,54.77031802120141,ETS,phi,maryland,P7,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P7,642571064,1,[2]
15,Combined Unweighted,10.594795539033456,65.7243816254417,ETS,phi,maryland,P7,642571064,1,[2]
15,Combined Weighted (quantile),10.594795539033456,65.7243816254417,ETS,phi,maryland,P7,642571064,1,[2]
